Local time,Open,High,Low,Close,Volume
12.10.2021 01:00:00.000 GMT+0100,34493.229,34607.789,34245.709,34304.269,40.8173
13.10.2021 01:00:00.000 GMT+0100,34302.799,34463.299,34108.259,34431.719,35.4174
14.10.2021 01:00:00.000 GMT+0100,34432.499,34989.999,34427.499,34973.289,26.7567
15.10.2021 01:00:00.000 GMT+0100,34973.209,35320.999,34913.199,35294.739,28.0636
16.10.2021 01:00:00.000 GMT+0100,35294.739,35294.739,35294.739,35294.739,0
17.10.2021 01:00:00.000 GMT+0100,35326.299,35348.719,35249.719,35254.269,1.298
18.10.2021 01:00:00.000 GMT+0100,35254.289,35343.209,35030.699,35253.199,28.5615
19.10.2021 01:00:00.000 GMT+0100,35252.249,35497.779,35197.259,35491.269,24.5476
20.10.2021 01:00:00.000 GMT+0100,35491.299,35673.999,35403.509,35546.259,23.6853
21.10.2021 01:00:00.000 GMT+0100,35544.199,35659.719,35440.219,35562.209,26.3975
22.10.2021 01:00:00.000 GMT+0100,35562.249,35763.499,35530.749,35646.729,31.3372
23.10.2021 01:00:00.000 GMT+0100,35646.729,35646.729,35646.729,35646.729,0
24.10.2021 01:00:00.000 GMT+0100,35632.199,35633.499,35566.709,35594.729,1.1971
25.10.2021 01:00:00.000 GMT+0100,35594.759,35786.269,35593.219,35774.199,27.1587
